iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-19.52,20.57,0.00,0.00,0.00,0.00,0.00
5180.00,0.94,213.01,0.00,10.80,7.28,0.00,0.00
5956.00,73.38,58.22,0.00,13.00,5.74,5.00,15.00
6233.00,137.29,132.55,0.00,19.20,18.16,21.09,21.59
7983.00,913.94,614.39,0.60,125.40,82.58,7.42,10.58
10423.00,1298.05,321.68,0.80,174.40,41.26,1.60,4.81
94852.00,1157.06,358.20,0.90,173.20,51.75,1.70,5.09
152270.00,1337.42,430.11,0.90,173.40,51.81,3.85,11.55
331691.00,1326.27,494.52,0.90,172.40,53.47,2.61,7.82
