iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
747.00,-39.97,37.93,0.00,0.00,0.00,5.96,9.02
4518.00,-24.69,11.64,0.00,0.00,0.00,3.50,5.79
6359.00,219.59,493.98,0.10,29.40,57.14,0.00,0.00
7304.00,1009.28,566.25,0.30,126.00,61.91,3.85,9.60
10137.00,1207.92,417.94,0.60,157.00,46.39,0.00,0.00
12974.00,1010.16,627.12,0.60,129.40,82.26,3.40,4.67
35366.00,1297.94,473.20,0.60,154.40,54.37,5.84,9.47
40666.00,1196.73,436.37,0.60,160.20,51.46,3.61,7.73
54592.00,1135.34,522.71,0.70,146.20,69.81,6.05,10.29
57085.00,1270.20,460.10,0.80,161.60,59.06,4.04,10.97
113016.00,1293.47,449.18,0.80,162.40,59.56,3.55,7.24
113934.00,1308.01,450.79,0.80,170.00,53.67,2.07,6.21
158971.00,1237.62,527.39,0.80,162.40,58.60,1.69,5.08
186558.00,1354.52,444.02,0.80,165.20,55.23,6.33,12.68
196390.00,1184.47,384.00,0.80,167.00,52.19,3.32,6.69
210486.00,1281.34,399.57,0.80,164.20,53.15,1.04,3.12
224638.00,1184.24,557.10,0.80,154.00,73.05,4.79,11.17
232216.00,1302.74,430.21,0.70,158.40,53.34,4.55,9.16
261239.00,1276.03,336.34,0.70,164.80,40.80,9.10,15.86
264641.00,1237.73,499.35,0.70,154.00,62.69,4.55,9.11
283311.00,1087.07,638.13,0.70,136.80,82.86,3.07,7.12
289809.00,1415.30,287.28,0.90,182.80,24.28,2.72,8.16
