iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
977.00,-11.01,21.74,0.00,0.00,0.00,0.00,0.00
5870.00,0.46,8.27,0.00,0.00,0.00,0.00,0.00
9309.00,479.00,450.03,0.10,63.80,57.69,7.77,12.26
13897.00,584.75,676.16,0.30,75.80,78.28,15.15,20.33
18674.00,755.93,492.52,0.30,113.40,66.16,16.90,22.36
19855.00,497.78,473.41,0.30,80.20,79.27,14.83,19.39
21009.00,871.12,542.98,0.50,126.20,71.42,8.58,8.72
22538.00,748.92,549.08,0.50,112.60,79.73,17.83,22.22
23898.00,988.70,455.00,0.70,155.60,67.54,52.80,97.74
28577.00,1077.88,619.13,0.70,141.00,76.48,11.68,12.58
32782.00,942.04,407.63,0.70,146.40,68.02,23.23,25.48
34994.00,1172.76,379.97,0.70,162.20,43.68,24.20,17.28
37784.00,1067.23,493.18,0.70,148.60,64.31,36.32,41.21
39527.00,1324.30,265.74,0.90,180.80,30.28,33.56,30.09
46363.00,1323.34,238.63,0.80,185.20,12.46,52.41,50.79
49056.00,1229.50,367.55,0.90,174.00,52.01,39.35,46.68
62084.00,1466.38,106.77,1.00,191.00,1.34,21.90,24.37
67204.00,1467.51,146.21,1.00,190.40,0.80,24.20,17.90
82829.00,1431.45,153.83,1.00,191.00,1.00,42.10,34.61
102709.00,1412.75,158.22,1.00,191.20,0.98,46.20,41.57
108557.00,1459.25,185.52,1.00,190.80,0.98,29.30,20.60
135278.00,1398.49,159.47,1.00,190.60,1.28,34.10,25.90
137934.00,1528.42,80.08,1.00,190.20,1.66,34.10,43.81
141090.00,1411.85,178.60,1.00,191.00,1.00,22.80,36.79
154967.00,1453.90,153.95,1.00,191.00,1.00,25.00,26.92
176085.00,1471.88,164.97,1.00,191.40,0.92,49.80,54.80
177629.00,1444.22,133.01,1.00,190.60,1.28,45.30,36.08
202799.00,1477.30,150.08,1.00,191.00,1.00,57.50,67.91
220623.00,1445.06,203.17,1.00,191.00,1.00,32.50,36.43
242185.00,1417.68,156.82,1.00,191.40,0.92,38.50,34.62
248299.00,1346.28,96.28,1.00,190.80,1.33,52.00,31.01
257736.00,1452.52,180.25,1.00,191.20,0.98,21.40,24.34
260964.00,1308.15,117.53,1.00,190.60,2.01,27.40,21.89
291271.00,1437.25,174.20,1.00,190.40,1.74,42.20,30.68
303552.00,1503.29,175.34,1.00,191.40,0.92,54.40,38.65
304920.00,1461.53,172.81,1.00,191.20,0.98,34.80,30.65
308755.00,1377.96,113.32,1.00,191.00,1.00,50.90,28.90
344374.00,1420.73,119.27,1.00,191.60,0.80,57.40,50.60
351001.00,1487.90,123.20,1.00,190.20,1.66,53.10,21.59
379496.00,1445.34,188.21,1.00,190.80,1.83,48.70,36.32
402578.00,1416.96,209.36,1.00,189.60,2.33,64.00,34.02
428759.00,1477.82,208.88,1.00,191.00,1.00,84.10,71.23
448814.00,1553.25,73.88,1.00,190.40,0.80,31.60,30.22
496898.00,1411.87,398.99,1.00,178.40,38.82,45.10,32.86
