iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-13.56,16.28,0.00,0.00,0.00,0.00,0.00
4637.00,-9.53,16.18,0.00,0.00,0.00,0.00,0.00
7699.00,101.45,240.04,0.00,24.40,31.24,0.00,0.00
11548.00,508.24,485.25,0.00,68.60,50.11,0.83,2.48
18252.00,494.85,402.86,0.00,70.00,47.32,4.89,10.83
21491.00,713.26,512.71,0.00,102.40,49.33,0.00,0.00
26160.00,600.97,423.25,0.10,93.00,59.32,2.35,7.06
32927.00,621.77,376.82,0.10,95.00,52.36,0.12,0.36
35531.00,670.71,494.05,0.10,99.00,72.77,4.23,9.88
39133.00,532.48,447.22,0.20,81.20,66.45,0.12,0.35
43099.00,596.74,424.74,0.10,90.00,60.39,4.47,13.08
45919.00,1106.76,452.73,0.30,148.80,46.65,0.00,0.00
49612.00,882.99,464.62,0.30,126.80,55.52,0.29,0.88
54516.00,953.43,410.77,0.10,132.80,55.68,8.50,12.92
57451.00,1291.17,387.12,0.70,169.40,46.33,0.00,0.00
73518.00,1159.87,472.21,0.70,153.20,60.51,2.44,7.33
107665.00,1113.95,439.03,0.60,155.20,52.89,0.00,0.00
112693.00,1629.85,183.19,0.80,185.00,11.84,1.55,4.65
211917.00,1207.10,359.77,0.90,174.40,46.14,0.16,0.49
228149.00,1126.43,372.53,0.90,172.40,54.14,0.00,0.00
273343.00,1366.52,324.21,0.60,174.60,32.73,3.89,6.60
277398.00,1088.13,397.02,0.80,162.60,57.25,1.33,3.99
283111.00,1064.42,494.08,0.80,156.40,68.58,1.39,4.17
288575.00,1402.43,118.51,0.90,188.80,3.82,0.81,2.42
397251.00,1290.25,420.84,0.90,175.00,45.00,1.36,4.09
440493.00,1293.65,483.87,0.90,171.60,57.21,0.00,0.00
