iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
335.00,-29.35,11.11,0.00,0.20,0.60,5.62,8.58
7097.00,184.09,318.83,0.00,25.00,43.33,7.63,15.13
8248.00,340.52,391.94,0.00,42.80,47.19,3.68,10.28
9997.00,426.10,350.91,0.00,75.00,46.51,1.63,4.90
12855.00,946.29,369.51,0.80,169.60,52.37,5.66,14.91
35901.00,1233.56,519.33,0.80,160.80,59.19,1.86,5.57
38145.00,1209.25,379.51,0.70,165.00,47.35,5.00,15.00
48282.00,1470.33,162.95,1.00,190.20,1.08,0.00,0.00
