iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-26.30,29.40,0.00,0.00,0.00,0.55,1.64
5114.00,-5.13,8.32,0.00,0.00,0.00,0.00,0.00
5792.00,251.39,126.89,0.00,40.80,20.52,4.41,8.56
7513.00,333.65,292.17,0.00,43.20,34.03,37.71,15.06
9533.00,410.41,273.91,0.00,57.40,40.38,5.10,14.97
10562.00,799.15,524.86,0.20,103.20,61.05,30.71,34.82
11963.00,529.98,679.84,0.30,67.20,81.43,15.03,18.38
13000.00,1147.24,587.84,0.60,146.60,69.89,28.28,20.18
20727.00,1093.58,673.28,0.60,130.00,73.96,30.18,30.26
23546.00,1104.65,562.34,0.60,142.20,67.06,26.20,28.55
26512.00,1454.57,437.78,0.80,174.40,41.83,19.30,14.41
33231.00,1234.40,372.23,0.80,167.20,46.85,16.66,18.00
36150.00,1403.68,472.93,0.80,166.00,53.15,16.90,27.93
69689.00,1128.47,529.86,0.80,155.00,70.03,32.48,16.74
72514.00,1300.83,432.45,0.80,164.80,52.34,31.05,12.34
77799.00,1287.10,454.70,0.90,172.80,51.62,27.21,14.75
81984.00,1472.20,304.18,0.90,180.60,28.21,13.37,12.33
94042.00,1364.02,196.97,0.90,188.40,5.50,71.43,71.01
95807.00,1352.49,441.43,0.90,171.40,56.48,19.70,19.61
101010.00,1390.16,262.27,0.90,180.40,29.49,48.39,31.23
103836.00,1562.10,146.32,0.90,189.80,4.04,20.20,18.89
105129.00,1314.87,370.42,0.90,175.80,44.61,40.55,37.68
106431.00,1497.17,125.79,1.00,190.00,1.55,15.70,27.53
174319.00,1456.24,155.91,1.00,190.80,0.98,46.20,58.27
246159.00,1535.80,192.70,1.00,190.60,0.92,29.10,30.03
254448.00,1388.38,165.22,1.00,191.00,1.34,41.70,28.04
264261.00,1526.52,184.38,1.00,190.60,1.80,66.40,54.15
283262.00,1492.31,123.24,1.00,191.00,1.00,32.70,30.24
294389.00,1534.25,202.07,1.00,190.60,0.92,57.00,51.01
312508.00,1520.43,139.70,1.00,190.80,1.33,25.40,21.26
325058.00,1397.10,117.91,1.00,191.20,0.98,39.70,25.69
359775.00,1522.22,159.63,1.00,190.60,0.92,29.50,28.41
440076.00,1509.51,223.69,1.00,190.60,0.92,17.70,16.85
449930.00,1502.25,114.71,1.00,191.00,1.00,26.20,22.73
450994.00,1506.30,124.67,1.00,191.00,1.00,37.70,35.93
489345.00,1439.96,150.32,1.00,190.60,2.20,48.40,33.72
