iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-54.66,103.03,0.00,2.80,3.71,0.89,2.66
5163.00,-105.97,302.09,0.00,7.20,3.37,0.00,0.00
9097.00,1148.66,640.26,0.70,144.80,70.04,7.61,15.60
11678.00,1132.06,486.98,0.80,158.00,66.04,10.96,10.28
25212.00,1315.84,431.57,0.70,160.60,45.65,5.10,4.95
28072.00,1342.78,327.22,0.80,177.20,34.00,14.23,15.56
37910.00,1316.27,574.47,0.80,158.00,64.50,10.25,18.25
45851.00,1245.03,434.50,0.90,170.60,56.24,8.30,8.21
49493.00,1421.39,186.39,0.70,178.40,18.48,23.30,22.84
53558.00,1199.27,369.64,0.80,171.80,48.90,16.44,10.82
55520.00,1202.38,576.68,0.80,154.20,72.15,12.92,10.94
58083.00,1293.37,453.71,0.90,172.20,54.09,16.70,25.07
75391.00,1545.74,151.64,1.00,190.20,1.08,13.10,15.84
91995.00,1412.08,163.39,1.00,190.60,0.92,10.80,11.55
101364.00,1428.58,183.01,1.00,190.40,0.80,14.30,17.89
154794.00,1401.45,129.71,1.00,191.00,1.00,18.20,13.99
158622.00,1477.65,214.84,1.00,191.00,1.00,13.20,17.63
167644.00,1448.29,146.64,1.00,190.80,0.98,12.60,17.10
180666.00,1368.14,194.58,1.00,191.80,0.60,25.60,31.32
197219.00,1489.01,160.55,1.00,190.20,1.66,11.40,10.44
198865.00,1471.19,168.28,1.00,190.20,0.60,28.30,22.70
203490.00,1462.88,143.96,1.00,190.40,1.74,15.10,19.23
207140.00,1517.91,205.05,1.00,190.80,0.98,15.00,10.83
208920.00,1429.76,158.03,1.00,191.20,0.98,8.30,7.36
213334.00,1483.42,126.64,1.00,190.20,0.60,10.50,16.54
221138.00,1468.15,202.80,1.00,191.00,1.00,5.30,6.91
227900.00,1397.93,118.59,1.00,191.20,0.98,15.40,11.32
232910.00,1437.75,126.13,1.00,190.40,0.80,11.10,10.21
239720.00,1518.68,243.27,1.00,191.00,1.00,15.10,21.72
241022.00,1499.29,220.08,1.00,189.80,1.89,17.30,16.79
254736.00,1535.75,176.02,1.00,190.20,0.60,13.20,14.71
255922.00,1459.01,179.10,1.00,191.00,1.34,24.70,26.51
257337.00,1468.56,234.74,1.00,190.40,2.33,8.80,8.01
267706.00,1489.30,173.89,1.00,190.00,1.79,14.90,13.60
292189.00,1422.76,161.42,1.00,190.40,1.74,22.50,31.49
302045.00,1469.37,172.65,1.00,190.60,0.92,25.10,39.29
309440.00,1485.99,139.69,1.00,190.60,0.92,11.80,10.71
314447.00,1551.99,205.81,1.00,190.80,0.98,13.90,15.85
320804.00,1413.63,179.30,1.00,191.40,0.92,24.90,29.20
334440.00,1471.09,206.02,1.00,190.80,0.98,11.20,8.27
341215.00,1474.42,173.87,1.00,191.20,0.98,8.80,5.81
350486.00,1511.80,114.51,1.00,190.40,0.80,12.40,7.90
356443.00,1443.01,245.09,1.00,191.00,1.00,20.00,41.77
361709.00,1468.79,103.92,1.00,190.20,2.44,9.40,8.57
369669.00,1565.59,157.77,1.00,190.00,0.89,18.40,13.33
377552.00,1484.27,209.08,1.00,191.00,1.00,14.10,15.49
391262.00,1483.85,123.88,1.00,190.40,0.80,19.70,20.49
404605.00,1473.42,146.66,1.00,191.20,1.33,13.50,13.14
434890.00,1524.05,165.07,1.00,190.20,1.66,16.90,12.83
