iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-4.06,14.31,0.00,0.00,0.00,0.00,0.00
5553.00,64.21,70.13,0.00,11.80,11.26,0.00,0.00
6168.00,127.16,133.87,0.00,17.80,18.23,0.00,0.00
6486.00,145.47,231.57,0.00,22.00,29.85,4.28,7.63
7376.00,467.08,429.95,0.10,65.80,66.62,27.08,19.38
8873.00,394.16,514.32,0.20,54.20,70.43,9.94,9.75
11637.00,1209.40,421.59,0.80,166.60,51.31,2.25,6.42
14005.00,1134.09,451.34,0.80,159.60,61.60,1.50,3.00
42302.00,1342.33,264.74,0.70,175.20,31.00,1.16,3.14
46712.00,1276.66,405.26,0.70,164.00,43.26,1.76,5.29
55090.00,1073.41,505.38,0.70,152.60,62.06,3.51,7.88
69836.00,1233.87,407.33,0.80,167.00,49.33,1.71,5.13
76902.00,1497.58,205.15,0.90,184.60,18.22,0.30,0.90
147117.00,1336.62,190.75,0.90,189.40,3.35,0.58,1.75
192120.00,1259.40,406.23,0.90,174.20,49.41,1.96,5.88
258969.00,1262.20,245.12,0.80,177.80,30.48,3.40,10.21
263504.00,1220.85,523.74,0.80,159.20,62.57,8.63,17.26
266534.00,1277.76,285.63,0.70,166.40,39.24,5.05,10.42
273412.00,1141.28,449.09,0.70,151.00,61.39,6.12,12.38
274812.00,1123.17,607.20,0.70,142.40,74.66,9.77,16.76
280726.00,1123.93,432.11,0.60,144.00,60.45,6.09,11.68
286628.00,938.84,565.18,0.60,131.60,73.19,6.75,12.79
288256.00,1113.73,541.44,0.50,135.00,63.29,16.90,18.45
290214.00,1132.92,512.90,0.70,150.60,64.93,10.00,20.00
292828.00,1135.18,553.78,0.70,149.40,66.90,4.21,9.18
294569.00,1118.13,608.92,0.70,141.00,76.93,9.61,18.99
298184.00,1290.71,461.32,0.70,159.60,54.17,4.90,13.72
312226.00,1246.47,377.14,0.70,166.20,39.39,0.80,1.60
323432.00,1239.71,555.38,0.70,154.20,67.47,7.98,16.59
362949.00,1178.35,552.96,0.70,150.00,65.60,4.45,7.12
365972.00,1260.94,460.29,0.70,156.20,56.17,6.82,11.27
367030.00,1263.36,376.38,0.70,165.20,42.05,7.81,15.64
376219.00,1271.12,279.84,0.90,176.60,41.54,3.15,9.44
383650.00,1327.31,387.89,0.90,175.80,43.30,0.00,0.00
495076.00,1212.29,335.06,0.90,176.00,45.34,1.97,5.91
