iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
561.00,-5.22,56.69,0.00,6.00,6.26,0.32,0.97
4761.00,-15.63,118.17,0.00,10.20,9.61,0.00,0.00
6087.00,137.41,96.17,0.00,17.80,11.85,0.00,0.00
7539.00,449.19,303.75,0.00,66.80,45.13,9.43,15.99
11026.00,1017.96,356.52,0.40,160.60,54.52,0.61,1.33
15479.00,1029.84,529.35,0.50,140.60,65.24,4.79,7.10
19460.00,1081.16,607.58,0.50,134.60,73.09,9.41,14.42
26736.00,1023.16,530.30,0.60,142.00,69.98,0.22,0.67
39328.00,1249.97,310.68,0.70,171.80,32.46,0.00,0.00
54836.00,973.12,592.54,0.70,137.20,82.72,4.37,8.76
61275.00,1030.57,484.02,0.50,143.00,64.67,5.87,11.81
67280.00,969.86,607.49,0.60,132.80,72.67,0.00,0.00
71429.00,1016.35,490.91,0.60,145.40,70.22,3.73,9.57
76048.00,1269.51,303.32,0.70,170.00,30.28,5.22,14.94
77272.00,1081.99,460.71,0.70,152.20,61.37,3.15,9.46
79174.00,1076.30,607.34,0.70,139.00,78.68,2.85,5.92
83407.00,994.87,461.66,0.50,145.00,55.49,6.22,14.86
85266.00,936.66,578.92,0.60,126.40,78.50,6.76,10.72
87237.00,1167.67,541.70,0.70,152.00,64.92,4.96,8.81
96640.00,1446.27,190.28,1.00,191.00,1.34,0.00,0.00
