iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
655.00,-62.39,116.82,0.00,5.00,5.31,1.04,3.13
6571.00,74.35,169.14,0.00,16.20,28.84,0.00,0.00
8589.00,258.76,283.69,0.00,45.00,26.78,0.38,1.15
10630.00,470.67,366.74,0.10,75.80,58.78,9.45,18.91
14326.00,566.00,368.79,0.10,91.00,59.36,1.70,2.68
17553.00,676.98,573.60,0.10,97.80,73.80,7.56,15.03
20634.00,674.52,438.34,0.20,108.00,63.29,3.31,9.92
23334.00,728.37,482.77,0.30,106.20,63.38,6.61,15.14
32349.00,1196.94,564.17,0.50,152.00,50.08,0.00,0.00
35990.00,1125.54,622.90,0.60,138.80,69.23,5.00,15.00
39204.00,995.98,425.00,0.40,143.60,63.71,2.67,6.44
45464.00,1150.35,603.12,0.50,146.40,50.96,2.70,8.10
55801.00,992.46,530.98,0.50,134.20,63.92,0.38,1.13
58086.00,1248.79,457.57,0.70,159.20,57.27,4.05,8.42
67269.00,1241.17,265.04,0.40,163.40,27.14,5.83,14.87
70633.00,994.86,670.80,0.40,122.80,77.11,1.94,5.81
74801.00,949.26,712.68,0.50,116.60,77.45,1.96,4.09
81668.00,992.61,561.99,0.50,130.60,68.14,9.07,18.26
87463.00,1288.28,405.63,0.70,165.00,50.85,0.52,1.26
90403.00,1135.87,584.01,0.70,147.00,70.90,2.20,4.42
96455.00,1224.14,544.77,0.70,154.00,67.30,1.05,2.76
98834.00,1208.35,529.43,0.70,150.80,64.09,2.83,4.77
110083.00,1386.11,193.46,0.70,184.20,12.98,0.14,0.41
112453.00,1400.23,296.26,0.80,180.80,19.78,0.00,0.00
117181.00,1372.86,144.12,0.90,189.20,2.56,0.39,1.18
147351.00,1494.18,245.45,0.90,182.60,24.23,3.05,9.14
179559.00,1473.21,177.01,1.00,190.20,0.60,0.00,0.00
189640.00,1385.68,156.19,1.00,190.00,0.89,0.00,0.00
384924.00,1447.08,203.19,1.00,190.00,0.89,0.00,0.00
