iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
1000.00,-39.93,37.31,0.00,0.00,0.00,3.45,4.80
5101.00,83.62,87.27,0.00,12.60,11.32,3.62,8.74
5883.00,185.08,169.88,0.00,26.60,24.28,5.38,7.61
6364.00,733.60,641.33,0.30,91.00,74.83,3.86,11.58
8757.00,877.89,418.71,0.40,140.40,59.17,0.20,0.40
24827.00,1022.13,623.41,0.50,123.40,73.60,8.97,12.89
36398.00,880.49,581.36,0.50,121.20,74.40,6.50,13.13
40657.00,918.37,410.04,0.30,128.60,59.61,6.62,14.68
42346.00,856.38,600.39,0.30,106.80,72.17,5.41,10.64
43903.00,1036.28,427.22,0.60,148.80,58.03,1.79,4.81
47025.00,1083.18,625.16,0.70,140.00,76.75,2.34,7.02
49283.00,946.34,612.03,0.70,126.80,78.56,7.70,12.96
54235.00,1052.91,540.97,0.70,144.80,69.68,3.47,7.53
70446.00,1173.59,375.30,0.60,155.20,50.26,4.48,8.96
80224.00,1330.94,487.33,0.80,163.60,54.28,2.34,7.01
87570.00,1287.88,493.87,0.80,164.60,54.95,1.05,3.15
91142.00,1376.87,315.53,0.90,182.20,24.75,0.00,0.00
122768.00,1261.01,384.94,0.90,172.40,51.49,0.10,0.30
136020.00,1365.39,480.43,0.90,172.40,56.81,0.00,0.00
143566.00,1395.28,449.60,0.90,174.20,49.41,0.00,0.00
144921.00,1462.73,295.79,0.90,184.40,18.17,4.62,13.86
151092.00,1320.37,424.44,0.90,173.40,49.14,0.97,2.90
152543.00,1397.19,236.21,0.80,181.20,20.14,1.37,4.10
156104.00,1307.11,265.48,0.80,175.20,34.83,6.56,13.99
164801.00,1366.67,409.13,0.90,174.80,48.28,1.65,4.94
234588.00,1441.95,136.11,1.00,191.00,1.00,0.00,0.00
260159.00,1500.38,202.92,1.00,190.40,0.80,0.00,0.00
