iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
626.00,-29.92,19.36,0.00,0.20,0.60,3.28,6.43
5412.00,194.66,422.20,0.00,24.40,55.73,0.35,1.06
7821.00,1111.98,709.89,0.40,123.40,75.35,10.28,10.43
10149.00,1260.16,584.39,0.60,147.80,64.92,16.52,12.08
22038.00,1192.96,624.97,0.70,146.00,68.33,12.34,9.36
29993.00,1561.35,483.73,0.90,173.80,51.28,4.13,6.51
37456.00,1495.09,247.19,0.90,184.80,16.30,18.00,29.77
48770.00,1467.77,505.44,0.90,173.40,50.50,6.60,7.83
54954.00,1393.36,495.44,0.90,172.40,54.81,7.64,7.84
60504.00,1478.68,515.56,0.90,172.00,56.01,8.01,9.37
69464.00,1326.72,306.40,0.90,179.20,32.41,31.36,32.52
71176.00,1385.54,452.64,0.90,173.80,51.28,18.67,17.28
85192.00,1456.48,277.81,0.90,182.00,24.74,40.00,37.38
91451.00,1334.62,344.10,0.90,176.20,43.42,34.10,34.70
105186.00,1584.92,181.44,1.00,190.40,1.50,33.90,47.13
127731.00,1571.38,193.05,1.00,190.20,0.60,22.40,13.96
137636.00,1540.41,154.82,1.00,190.80,0.98,26.40,21.35
198340.00,1576.96,172.81,1.00,191.40,0.92,17.60,26.21
248290.00,1558.67,201.37,1.00,190.60,1.28,25.60,21.12
306176.00,1509.03,123.13,1.00,189.80,2.09,24.10,20.50
327775.00,1550.37,161.97,1.00,190.20,1.08,6.90,12.28
376872.00,1485.47,159.54,1.00,190.80,1.33,27.40,36.97
